7284.429803931  4.157276000  0.024920701 0 
7284.429880319  4.140790000  0.024749474 0 
7284.429949763  4.156724000  0.024813026 0 
7284.430026152  4.139848000  0.024760460 0 
7284.430095596  4.179131000  0.025112587 0 
7284.430171984  4.167825000  0.024986870 0 
7284.430248373  4.188327000  0.025236148 0 
7284.430317816  4.150057000  0.024822349 0 
7284.430394205  4.135196000  0.024753564 0 
7284.430463649  4.139418000  0.024723624 0 
7284.430540037  4.163691000  0.024904290 0 
7284.430609481  4.170145000  0.024974841 0 
7284.430685870  4.125105000  0.024696178 0 
7284.430762258  4.153707000  0.024857863 0 
7284.430831702  4.131018000  0.024769922 0 
7284.430908090  4.153742000  0.024890784 0 
7284.430977535  4.160590000  0.024925310 0 
7284.431053923  4.115366000  0.024635406 0 
7284.431130311  4.176656000  0.025035798 0 
7284.431199755  4.120870000  0.024625031 0 
7284.431276144  4.140900000  0.024724501 0 
7284.431345587  4.146357000  0.024816693 0 
7284.431421976  4.127719000  0.024600164 0 
7284.431491420  4.145978000  0.024776105 0 
7284.431567808  4.152922000  0.024870490 0 
7284.431644197  4.189373000  0.025166711 0 
7284.431713641  4.144359000  0.024712680 0 
7284.431790029  4.184600000  0.025057755 0 
7284.431859473  4.153736000  0.024961610 0 
7284.431935861  4.194312000  0.025130275 0 
7284.432012250  4.167464000  0.024964285 0 
7284.432081694  4.197027000  0.025302395 0 
7284.432158082  4.165834000  0.024926643 0 
7284.432227526  4.156585000  0.024812246 0 
7284.432303915  4.146072000  0.024812294 0 
7284.432380303  4.174463000  0.024980140 0 
7284.432449747  4.200310000  0.025243039 0 
7284.432526135  4.176048000  0.025137652 0 
7284.432595579  4.169008000  0.025072621 0 
7284.432671968  4.156527000  0.024904019 0 
7284.432741412  4.147753000  0.024787093 0 
7284.432817800  4.168489000  0.025037324 0 
7284.432894188  4.166386000  0.025039734 0 
7284.432963633  4.173661000  0.025123220 0 
7284.433040021  4.156680000  0.024997628 0 
7284.433109465  4.196123000  0.025224679 0 
7284.433185853  4.173364000  0.025181992 0 
7284.433262242  4.129387000  0.024772562 0 
7284.433331686  4.119639000  0.024687267 0 
7284.433408074  4.174907000  0.025113425 0 
7284.433477518  4.136146000  0.024784815 0 
7284.433553906  4.137132000  0.024761525 0 
7284.433630295  4.154361000  0.024875753 0 
7284.433699739  4.168399000  0.024926806 0 
7284.433776127  4.145438000  0.024872112 0 
7284.433845571  4.154685000  0.024936322 0 
7284.433921959  4.129534000  0.024708311 0 
7284.433998348  4.099400000  0.024458674 0 
7284.434067792  4.145510000  0.024850860 0 
7284.434144180  4.143278000  0.024835955 0 
7284.434213624  4.141792000  0.024682252 0 
7284.434290013  4.152468000  0.024761265 0 
7284.434359456  4.156977000  0.024903210 0 
7284.434435845  4.135470000  0.024717624 0 
7284.434512233  4.166586000  0.024983040 0 
7284.434581677  4.174966000  0.025090668 0 
7284.434658066  4.163908000  0.024974673 0 
7284.434727510  4.157121000  0.024869853 0 
7284.434803898  4.130347000  0.024664476 0 
7284.434873342  4.155511000  0.024818213 0 
7284.434949731  4.181968000  0.025180142 0 
7284.435026119  4.165754000  0.025045461 0 
7284.435095563  4.166502000  0.025013409 0 
7284.435171951  4.152926000  0.024881635 0 
7284.435241395  4.160750000  0.025007307 0 
7284.435317784  4.165941000  0.025074973 0 
7284.435387227  4.167089000  0.025092183 0 
7284.435463616  4.160610000  0.025060310 0 
7284.435533060  4.150818000  0.024872801 0 
7284.435609448  4.144267000  0.024908421 0 
7284.435685837  4.123579000  0.024818210 0 
7284.435755281  4.187974000  0.025348540 0 
7284.435831669  4.145325000  0.024947202 0 
7284.435901113  4.154553000  0.025071338 0 
7284.435977501  4.154118000  0.025020206 0 
7284.436053890  4.158360000  0.025068562 0 
7284.436123334  4.153872000  0.025064719 0 
7284.436199722  4.155835000  0.025030976 0 
7284.436269166  4.163189000  0.025192479 0 
7284.436345555  4.175891000  0.025437091 0 
7284.436421943  4.190873000  0.025528326 0 
7284.436491387  4.170839000  0.025290379 0 
7284.436567775  4.158718000  0.025352099 0 
7284.436637220  4.155889000  0.025441175 0 
7284.436713608  4.145206000  0.025567742 0 
